Depth,6X,6fff,10X,10fff,15X
0.0,0.5021216407355023,0.5049504950495051,0.40028288543140045,0.4108910891,0.19462698667265685
0.04040404040404041,0.5021216407355023,0.5049504950495051,0.40813287677974114,0.4108910891,0.19462698667265685
0.08080808080808081,0.5207425504455206,0.5355398635101606,0.43625632404510273,0.4359658188041024,0.20048700509099798
0.12121212121212122,0.5436924644845434,0.5507461460431756,0.46773248753446744,0.45452830997385435,0.21259093837151172
0.16161616161616163,0.5850735867237516,0.5865911988009188,0.5083317855595083,0.47336447930507336,0.22469487165202542
0.20202020202020204,0.6064475495168561,0.6084171909225322,0.5240285933355241,0.49802599307549794,0.23823527153364366
0.24242424242424243,0.6380245167373875,0.6320132013201315,0.5694998071235692,0.5196733959110196,0.2608573061300315
0.2828282828282829,0.6689847556184184,0.6638854361626638,0.5915734430585913,0.5382252510965382,0.28347934072641945
0.32323232323232326,0.701359421660509,0.6869988586160203,0.629276260959429,0.5744542708373953,0.3064260057253334
0.36363636363636365,0.7337340876945863,0.7167502464532164,0.6473275899018471,0.5973454488307429,0.32939922511593495
0.4040404040404041,0.766190904804766,0.7488072616785487,0.6682557144603347,0.6351016053986349,0.3508045849767955
0.4444444444444445,0.7922189044475177,0.7609722877049611,0.6967887264916967,0.653936822253654,0.37168462107046796
0.48484848484848486,0.8222536539362826,0.7942151357992944,0.7242581400997241,0.6743388624576742,0.39256465716414035
0.5252525252525253,0.8391874901775888,0.8095047600001566,0.747341400806747,0.7000176208101474,0.4163033873854803
0.5656565656565657,0.8652682728590321,0.8281447192484659,0.7665365742968604,0.7240533577355989,0.44012767010344755
0.6060606060606061,0.876894832340377,0.8488801261191872,0.7845224998803398,0.7463746374776409,0.4598995126648323
0.6464646464646465,0.8902969661865275,0.8663640173541165,0.8020986622563273,0.7664866486648664,0.4793149601112319
0.686868686868687,0.9011409077177758,0.8791176736721291,0.8190628586667236,0.7806137756632805,0.4993254280484644
0.7272727272727273,0.9180275170414042,0.8918713299901417,0.8327975654691351,0.7954938350977954,0.5229681669926178
0.7676767676767677,0.9295461292147991,0.9032109560162364,0.8465322722715466,0.8099936977824768,0.5466109059367714
0.8080808080808082,0.9394915682006791,0.9164821243978647,0.8598066155787574,0.8191501689851525,0.5908970066481024
0.8484848484848485,0.9503688464072686,0.9312502678804148,0.8709251877551647,0.8290186161473285,0.6414251973977825
0.888888888888889,0.9576457645764578,0.9371365707981212,0.8820437599315489,0.8456964744093456,0.6651746877383524
0.9292929292929294,0.9635320674924635,0.9430228737158276,0.8931623321062266,0.8607729820601109,0.6876065570342674
0.9696969696969697,0.9712471247169824,0.9498235537839499,0.9042809042809044,0.873474082102088,0.7085303295678205
1.0101010101010102,0.976931026438511,0.9562099067049563,0.915399476455582,0.8804815855735235,0.7319569596534274
1.0505050505050506,0.9803647031384557,0.9620962096209621,0.9223609731573571,0.8874890890449589,0.7563088250165302
1.090909090909091,0.9837983798384002,0.9677124855359959,0.9280766585975369,0.8957502893146457,0.7737189510411184
1.1313131313131315,0.9870005519070427,0.9732063682601129,0.9337923440377165,0.9045797436886546,0.7880083956626694
1.1717171717171717,0.9900527089746013,0.977116494721545,0.9395080294778961,0.9134091980626634,0.8022978402842202
1.2121212121212122,0.9931048660421599,0.9808226854450425,0.9452237149180758,0.9203011210211931,0.8159663155924713
1.2525252525252526,0.9954054929302455,0.9845288761685399,0.9509394003582554,0.9267225423841087,0.8279738337846039
1.292929292929293,0.9963865434162466,0.9872413431819376,0.9566550857984351,0.9331439637470242,0.8399813519767363
1.3333333333333335,0.9973675939022476,0.9893996542511397,0.9623707712386147,0.9395653851099398,0.8519888701688688
1.373737373737374,0.9983486443882487,0.9915579653203419,0.9671421687623311,0.9445958201262304,0.863267386035649
1.4141414141414144,0.9993296948742497,0.9936700436960993,0.9708879978906984,0.9493609224868065,0.8742532551214178
1.4545454545454546,0.9999171345706004,0.994599459945995,0.9746338270190658,0.9540030926181626,0.8852391242071866
1.494949494949495,0.9996555211076668,0.9955288761958907,0.9783796561474332,0.958380087097983,0.8962249932929555
1.5353535353535355,0.999393907644733,0.9964582924457863,0.9813912127155022,0.9627570815778033,0.904859236854694
1.575757575757576,0.9991322941817994,0.997387708695682,0.9837100593210258,0.9671340760576235,0.9119605654963032
1.6161616161616164,0.9988706807188658,0.9983171249455777,0.9860289059265495,0.9715110705374438,0.9190618941379123
1.6565656565656568,0.9986090672559321,0.9992465411954734,0.9883477525320732,0.9748593907102316,0.9261632227795215
1.696969696969697,0.9979158630148731,0.9999187418741878,0.9906665991375967,0.977606332067921,0.9332645514211305
1.7373737373737375,0.9971800751503723,0.9994895322865625,0.9929854457431204,0.9803532734256105,0.9403658800627397
1.777777777777778,0.9964442872858715,0.999060322698937,0.995304292348644,0.9830740216877758,0.9474672087043488
1.8181818181818183,0.9957084994213707,0.9986311131113115,0.9976231389541677,0.9848399125585552,0.9515524086160244
1.8585858585858588,0.9949727115568701,0.998201903523686,0.9986193297205096,0.9866058034293347,0.955234463513004
1.8989898989898992,0.9941549710526609,0.9977726939360606,0.9986770385725912,0.9883716943001141,0.9589165184099835
1.9393939393939394,0.992846903737993,0.9973434843484351,0.9987347474246726,0.9901375851708936,0.962598573306963
1.97979797979798,0.9915388364233251,0.9969142747608096,0.9987924562767542,0.9919034760416731,0.9662806282039426
2.0202020202020203,0.9902307691086571,0.9964850651731842,0.9988501651288356,0.9936693669124524,0.969962683100922
2.060606060606061,0.9889227017939892,0.9960558555855588,0.9989078739809172,0.9954352577832319,0.9736447379979016
