15 MV,
X,Y
0.03762290948046143,17.717003567181933
0.22176165040144724,25.564803804994042
0.36525881395803594,30.321046373365036
0.46698546744563885,37.45541022592151
0.7326773252639285,50.17835909631391
0.8338395123992512,60.04756242568371
0.9144354906991978,69.5600475624257
1.0368019790681302,76.69441141498217
1.2829093086637116,84.30439952437575
1.4881787247723608,89.77407847800238
1.6525611433634282,93.34126040428062
2.1056067461091814,98.33531510107017
2.5593395252838107,100
3.4674922600619382,100
4.04584939301462,97.85969084423306
4.9133605504283295,94.76813317479193
5.904759801160608,91.43876337693223
7.26811783603236,85.96908442330559
8.218237417001987,82.6397146254459
9.085846742476967,79.07253269916767
10.201232254589058,75.02972651605232
11.192778757413237,70.98692033293699
12.390772693081253,66.7063020214031
13.464829451400071,62.90130796670631
14.49750837189498,59.571938168846614
15.612795715945822,56.00475624256839
16.769362729759294,52.43757431629014
17.96711124527414,49.346016646848994
18.916985406090596,47.205707491082066
